PROGRAM_NAME,PROGRAM_URL,CATALOG_NAME,LAST_UPDATED,ID,TITLE,DESCRIPTION,LINK,IMPRESSION_URL,IMAGE_LINK,MOBILE_LINK,ADDITIONAL_IMAGE_LINK,AVAILABILITY,AVAILABILITY_DATE,EXPIRATION_DATE,PRICE,SALE_PRICE,SALE_PRICE_EFFECTIVE_DATE,UNIT_PRICING_MEASURE,UNIT_PRICING_BASE_MEASURE,INSTALLMENT,LOYALTY_POINTS,GOOGLE_PRODUCT_CATEGORY,GOOGLE_PRODUCT_CATEGORY_NAME,PRODUCT_TYPE,BRAND,GTIN,MPN,IDENTIFIER_EXISTS,CONDITION,ADULT,MULTIPACK,IS_BUNDLE,ENERGY_EFFICIENCY_CLASS,AGE_GROUP,COLOR,GENDER,MATERIAL,PATTERN,SIZE,SIZE_TYPE,SIZE_SYSTEM,ITEM_GROUP_ID,CUSTOM_LABEL_0,CUSTOM_LABEL_1,CUSTOM_LABEL_2,CUSTOM_LABEL_3,CUSTOM_LABEL_4,PROMOTION_ID,SHIPPING_LABEL,SHIPPING_WEIGHT,SHIPPING_LENGTH,SHIPPING_WIDTH,SHIPPING_HEIGHT,MINHANDLINGTIME,MAXHANDLINGTIME,PRODUCT_LENGTH,PRODUCT_WIDTH,PRODUCT_HEIGHT,PRODUCT_WEIGHT,PRODUCT_HIGHLIGHT,ADS_REDIRECT,SHOPPING_ADS_EXCLUDED_COUNTRY,SHIPS_FROM_COUNTRY,TRANSIT_TIME_LABEL,COST_OF_GOODS_SOLD,SHIPPING(COUNTRY:REGION:SERVICE:PRICE),SHIPPING(MIN_HANDLING_TIME),SHIPPING(MAX_HANDLING_TIME),SHIPPING(PRICE),SHIPPING(COUNTRY),SHIPPING(MIN_TRANSIT_TIME),SHIPPING(MAX_TRANSIT_TIME),SHIPPING(COUNTRY:POSTAL_CODE:SERVICE:PRICE),SHIPPING(COUNTRY:LOCATION_ID:SERVICE:PRICE),SHIPPING(COUNTRY:LOCATION_GROUP_NAME:SERVICE:PRICE),TAX(RATE:COUNTRY:TAX_SHIP:REGION),TAX(RATE:COUNTRY:TAX_SHIP:POSTAL_CODE),TAX(RATE:COUNTRY:TAX_SHIP:LOCATION_ID),TAX(RATE:COUNTRY:TAX_SHIP:LOCATION_GROUP_NAME),SUBSCRIPTION_COST(PERIOD),SUBSCRIPTION_COST(PERIOD_LENGTH),SUBSCRIPTION_COST(AMOUNT),PRODUCT_DETAIL(SECTION_NAME),PRODUCT_DETAIL(ATTRIBUTE_NAME),PRODUCT_DETAIL(ATTRIBUTE_VALUE),CERTIFICATION(CERTIFICATION_AUTHORITY:CERTIFICATION_NAME:CERTIFICATION_CODE:CERTIFICATION_VALUE)
PadelNuestro EU,https://www.padelnuestro.com,Padel Nuestro - Product Feed INTERNATIONAL €,2025-12-01T05:28:30.155-08:00,105180-2-52-P,Red Wilson Bela Pro Wrs331170,"RED WILSON BELA PRO, WITH GREAT CUSHIONING  Your new red WILSON BELA PRO padel shoes provide incredible cushioning thanks to their R-DST + technology. They also incorporate the Sensifeel 2.0 system, which is perfect for ensuring comfort and breathability.",https://www.kqzyfj.com/click-101594765-15748654?url=https%3A%2F%2Fwww.padelnuestro.com%2Fint%2Fred-wilson-bela-pro-wrs331170-c-105180-p,https://www.awltovhc.com/image-101594765-15748654,https://www.padelnuestro.com/media/catalog/product/i/m/imagen_1_105180_a6e026ff_08ac.jpg,,,in_stock,,,160.00 EUR,84.95 EUR,,,,,,187,Apparel & Accessories > Shoes,Padel Shoes,Wilson,097512675352,,yes,new,,,,,adult,Red,male,,,41 1/3,,,19352,,Prod. Validos para descuentos,PREBLACK,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
PadelNuestro EU,https://www.padelnuestro.com,Padel Nuestro - Product Feed INTERNATIONAL €,2025-12-01T05:28:30.157-08:00,105180-2-87-P,Red Wilson Bela Pro Wrs331170,"RED WILSON BELA PRO, WITH GREAT CUSHIONING  Your new red WILSON BELA PRO padel shoes provide incredible cushioning thanks to their R-DST + technology. They also incorporate the Sensifeel 2.0 system, which is perfect for ensuring comfort and breathability.",https://www.jdoqocy.com/click-101594765-15748654?url=https%3A%2F%2Fwww.padelnuestro.com%2Fint%2Fred-wilson-bela-pro-wrs331170-c-105180-p,https://www.awltovhc.com/image-101594765-15748654,https://www.padelnuestro.com/media/catalog/product/i/m/imagen_1_105180_a6e026ff_08ac.jpg,,,in_stock,,,160.00 EUR,84.95 EUR,,,,,,187,Apparel & Accessories > Shoes,Padel Shoes,Wilson,097512675345,,yes,new,,,,,adult,Red,male,,,40 2/3,,,19352,,Prod. Validos para descuentos,PREBLACK,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
PadelNuestro EU,https://www.padelnuestro.com,Padel Nuestro - Product Feed INTERNATIONAL €,2025-12-01T05:28:30.159-08:00,105521-2-17-P,Black And Green Jhayber Tatena A44410-200,"Black and Green Jhayber Tatena, padel shoes for demanding training sessions Black and Green Jhayber Tatena, a model of Black Carbon Series padel shoes. These shoes protect your feet and give you the security you need while on the court. Padel shoes from the Premium collection endorsed by “La Bestia”, Agustín Gómez Silingo. With a herringbone or clay sole. Flexible and resistant 3K carbon padel shoes Designed to improve stopping and grip while moving around on the court. Experience better grip and momentum with this shoe. Reinforced for optimal flexibility and preventing twisting which could lead to injury. With MID-STB technology, a 3K carbon TPU support in the arch of the foot. Increases stability and reduces bad twisting when moving. Optimum full foot support with every step. Sports shoes with a herringbone sole and an ergonomic insole The areas of greatest friction of the sole are reinforced to be resistant. The sole is made of bi-directional clay which improves grip and cushions steps. The shoes are made with resistant and breathable microfibre and a double-filled lining for a pleasant cushioned feel. The insoles are breathable and ergonomic. Quality shoes that mould and adapt to your feet to allow for the best feel while playing. Black and green padel shoes.",https://www.tkqlhce.com/click-101594765-15748654?url=https%3A%2F%2Fwww.padelnuestro.com%2Fint%2Fblack-and-green-jhayber-tatena-a44410-200-c-105521-p,https://www.awltovhc.com/image-101594765-15748654,https://www.padelnuestro.com/media/catalog/product/1/0/105521_zapatillas_jhayber_tatena_za44410_200_1500x1500_vista1_0062.jpg,,,in_stock,,,86.95 EUR,54.95 EUR,,,,,,187,Apparel & Accessories > Shoes,Padel Shoes,J'Hayber,8432891292707,,yes,new,,,,,adult,Green,male,,,44,,,19375,,Prod. Validos para descuentos,PREBLACK,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
PadelNuestro EU,https://www.padelnuestro.com,Padel Nuestro - Product Feed INTERNATIONAL €,2025-12-01T05:28:30.160-08:00,106037-2-11-P,Women’s K-swiss Bigshotight 4,"WOMEN’S K-SWISS BIGSHOTIGHT 4, FOR DURABILITY With your new women’s K-SWISS BIGSHOTIGHT 4 shoes, nothing will be able to stop you, thanks to their rubber sole, which is incredibly resistant to abrasion and retains its durability.",https://www.tkqlhce.com/click-101594765-15748654?url=https%3A%2F%2Fwww.padelnuestro.com%2Fint%2Fwomen-s-k-swiss-bigshotight-4-c-106037-p,https://www.awltovhc.com/image-101594765-15748654,https://www.padelnuestro.com/media/catalog/product/i/m/imagen_1_106037_f0540607_706c.jpg,,,in_stock,,,119.95 EUR,74.95 EUR,,,,,,187,Apparel & Accessories > Shoes,Padel Shoes,Kswiss,196483143492,,yes,new,,,,,adult,White,female,,,38,,,19384,,Prod. Validos para descuentos,PREBLACK,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
PadelNuestro EU,https://www.padelnuestro.com,Padel Nuestro - Product Feed INTERNATIONAL €,2025-12-01T05:28:30.161-08:00,106037-2-12-P,Women’s K-swiss Bigshotight 4,"WOMEN’S K-SWISS BIGSHOTIGHT 4, FOR DURABILITY With your new women’s K-SWISS BIGSHOTIGHT 4 shoes, nothing will be able to stop you, thanks to their rubber sole, which is incredibly resistant to abrasion and retains its durability.",https://www.kqzyfj.com/click-101594765-15748654?url=https%3A%2F%2Fwww.padelnuestro.com%2Fint%2Fwomen-s-k-swiss-bigshotight-4-c-106037-p,https://www.awltovhc.com/image-101594765-15748654,https://www.padelnuestro.com/media/catalog/product/i/m/imagen_1_106037_f0540607_706c.jpg,,,in_stock,,,119.95 EUR,74.95 EUR,,,,,,187,Apparel & Accessories > Shoes,Padel Shoes,Kswiss,196483143508,,yes,new,,,,,adult,White,female,,,39,,,19384,,Prod. Validos para descuentos,PREBLACK,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
PadelNuestro EU,https://www.padelnuestro.com,Padel Nuestro - Product Feed INTERNATIONAL €,2025-12-01T05:28:30.162-08:00,106037-2-13-P,Women’s K-swiss Bigshotight 4,"WOMEN’S K-SWISS BIGSHOTIGHT 4, FOR DURABILITY With your new women’s K-SWISS BIGSHOTIGHT 4 shoes, nothing will be able to stop you, thanks to their rubber sole, which is incredibly resistant to abrasion and retains its durability.",https://www.tkqlhce.com/click-101594765-15748654?url=https%3A%2F%2Fwww.padelnuestro.com%2Fint%2Fwomen-s-k-swiss-bigshotight-4-c-106037-p,https://www.awltovhc.com/image-101594765-15748654,https://www.padelnuestro.com/media/catalog/product/i/m/imagen_1_106037_f0540607_706c.jpg,,,in_stock,,,119.95 EUR,74.95 EUR,,,,,,187,Apparel & Accessories > Shoes,Padel Shoes,Kswiss,196483143522,,yes,new,,,,,adult,White,female,,,40,,,19384,,Prod. Validos para descuentos,PREBLACK,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
PadelNuestro EU,https://www.padelnuestro.com,Padel Nuestro - Product Feed INTERNATIONAL €,2025-12-01T05:28:30.167-08:00,106037-2-14-P,Women’s K-swiss Bigshotight 4,"WOMEN’S K-SWISS BIGSHOTIGHT 4, FOR DURABILITY With your new women’s K-SWISS BIGSHOTIGHT 4 shoes, nothing will be able to stop you, thanks to their rubber sole, which is incredibly resistant to abrasion and retains its durability.",https://www.dpbolvw.net/click-101594765-15748654?url=https%3A%2F%2Fwww.padelnuestro.com%2Fint%2Fwomen-s-k-swiss-bigshotight-4-c-106037-p,https://www.awltovhc.com/image-101594765-15748654,https://www.padelnuestro.com/media/catalog/product/i/m/imagen_1_106037_f0540607_706c.jpg,,,in_stock,,,119.95 EUR,74.95 EUR,,,,,,187,Apparel & Accessories > Shoes,Padel Shoes,Kswiss,196483143539,,yes,new,,,,,adult,White,female,,,41,,,19384,,Prod. Validos para descuentos,PREBLACK,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
PadelNuestro EU,https://www.padelnuestro.com,Padel Nuestro - Product Feed INTERNATIONAL €,2025-12-01T05:28:30.169-08:00,106037-2-33-P,Women’s K-swiss Bigshotight 4,"WOMEN’S K-SWISS BIGSHOTIGHT 4, FOR DURABILITY With your new women’s K-SWISS BIGSHOTIGHT 4 shoes, nothing will be able to stop you, thanks to their rubber sole, which is incredibly resistant to abrasion and retains its durability.",https://www.dpbolvw.net/click-101594765-15748654?url=https%3A%2F%2Fwww.padelnuestro.com%2Fint%2Fwomen-s-k-swiss-bigshotight-4-c-106037-p,https://www.awltovhc.com/image-101594765-15748654,https://www.padelnuestro.com/media/catalog/product/i/m/imagen_1_106037_f0540607_706c.jpg,,,in_stock,,,119.95 EUR,74.95 EUR,,,,,,187,Apparel & Accessories > Shoes,Padel Shoes,Kswiss,196483143485,,yes,new,,,,,adult,White,female,,,37.5,,,19384,,Prod. Validos para descuentos,PREBLACK,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
PadelNuestro EU,https://www.padelnuestro.com,Padel Nuestro - Product Feed INTERNATIONAL €,2025-12-01T05:28:30.170-08:00,106037-2-35-P,Women’s K-swiss Bigshotight 4,"WOMEN’S K-SWISS BIGSHOTIGHT 4, FOR DURABILITY With your new women’s K-SWISS BIGSHOTIGHT 4 shoes, nothing will be able to stop you, thanks to their rubber sole, which is incredibly resistant to abrasion and retains its durability.",https://www.dpbolvw.net/click-101594765-15748654?url=https%3A%2F%2Fwww.padelnuestro.com%2Fint%2Fwomen-s-k-swiss-bigshotight-4-c-106037-p,https://www.awltovhc.com/image-101594765-15748654,https://www.padelnuestro.com/media/catalog/product/i/m/imagen_1_106037_f0540607_706c.jpg,,,in_stock,,,119.95 EUR,74.95 EUR,,,,,,187,Apparel & Accessories > Shoes,Padel Shoes,Kswiss,196483143515,,yes,new,,,,,adult,White,female,,,39.5,,,19384,,Prod. Validos para descuentos,PREBLACK,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
PadelNuestro EU,https://www.padelnuestro.com,Padel Nuestro - Product Feed INTERNATIONAL €,2025-12-01T05:28:30.171-08:00,106037-2-37-P,Women’s K-swiss Bigshotight 4,"WOMEN’S K-SWISS BIGSHOTIGHT 4, FOR DURABILITY With your new women’s K-SWISS BIGSHOTIGHT 4 shoes, nothing will be able to stop you, thanks to their rubber sole, which is incredibly resistant to abrasion and retains its durability.",https://www.jdoqocy.com/click-101594765-15748654?url=https%3A%2F%2Fwww.padelnuestro.com%2Fint%2Fwomen-s-k-swiss-bigshotight-4-c-106037-p,https://www.awltovhc.com/image-101594765-15748654,https://www.padelnuestro.com/media/catalog/product/i/m/imagen_1_106037_f0540607_706c.jpg,,,in_stock,,,119.95 EUR,74.95 EUR,,,,,,187,Apparel & Accessories > Shoes,Padel Shoes,Kswiss,196483143546,,yes,new,,,,,adult,White,female,,,41.5,,,19384,,Prod. Validos para descuentos,PREBLACK,,,,,,,,,,,,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,
